,concepts,sentence
2612,['cat' 'ear' 'look'],veterinarian looking ear of a cat while doing checkup at clinic
2613,['motorcycle' 'paint' 'park'],A motorcycle that is painted green and parked.
2614,['motorcycle' 'paint' 'park'],Two colorful painted motorcycles parked near a train track.
2615,['motorcycle' 'paint' 'park'],An elegantly painted custom motorcycle parked on the grass.
2616,['chocolate' 'coffee' 'cup'],cup of coffee with a chocolate
2617,['chocolate' 'coffee' 'cup'],a cup of coffee with bitter chocolate and dark brown sugar .
2618,['desk' 'laptop' 'lie'],A cat lazily lying on a laptop on a desk.
2619,['desk' 'laptop' 'lie'],portrait of a man lying down at desk near laptop
2620,['body' 'part' 'tattoo'],tattoos on various parts of the body
2621,['body' 'part' 'tattoo'],A woman is getting a tattoo on some part of her body.
2622,['body' 'part' 'tattoo'],A tattoo was engraved on the body of a man in the chest part
2623,['food' 'market' 'shop'],locals shop at a market for food
2624,['food' 'market' 'shop'],The old lady is shopping for food in the market.
2625,['food' 'market' 'shop'],A group of people shopping for food at the market.
2626,['art' 'look' 'museum'],A man is looking at art in a museum.
2627,['art' 'look' 'museum'],Many people look at art in the main lobby of a museum.
2628,['decorate' 'flower' 'heart'],paper flowers decorate the edge of the heart
2629,['decorate' 'flower' 'heart'],heart decorated with a pattern of flowers and herbs
2630,['aircraft' 'fly' 'mountain'],an aircraft flying over mountains .
2631,['aircraft' 'fly' 'mountain'],a aircraft flying above a snowy mountain 
2632,['aircraft' 'fly' 'mountain'],a transport aircraft flies away from mountain
2633,['rail' 'snow' 'snowboarder'],A snowboarder going on a rail in the snow 
2634,['rail' 'snow' 'snowboarder'],A snowboarder grinds a rail with snow all around
2635,['rail' 'snow' 'snowboarder'],Skilled snowboarder in bright yellow glides smoothly down a stair rail in the snow.
2636,['bridge' 'cross' 'park'],People cross a bridge over a park.
2637,['bridge' 'cross' 'park'],People cross a little stone bridge at the park.
2638,['bridge' 'cross' 'park'],astyle small bridge crossing a stream in a park
2639,['day' 'graze' 'pasture'],A pasture on a sunny day with horses grazing
2640,['day' 'graze' 'pasture'],The Moose is grazing in the pasture on a foggy day.
2641,['day' 'graze' 'pasture'],black and white dairy cattle graze among tall green pastures on an overcast day
2642,['road' 'travel' 'van'],van traveling on a road
2643,['road' 'travel' 'van'],camper van travelling south on road
2644,['road' 'travel' 'van'],a van finding it difficult to travel in the damaged road
2645,['bear' 'sleep' 'zoo'],brown bear sleeping in a zoo
2646,['bear' 'sleep' 'zoo'],young polar bear sleeps on rocks at the zoo
2647,['bear' 'sleep' 'zoo'],polar bears at zoo lay and sleep close to each other
2648,['brother' 'school' 'sister'],a brother and sister eating before school
2649,['brother' 'school' 'sister'],big brother leads little sister to school .
2650,['brother' 'school' 'sister'],A brother and sister have just graduated from school.
2651,['grass' 'sheep' 'yard'],sheep eat grass in the yard
2652,['grass' 'sheep' 'yard'],A group of sheep eating grass in a yard.
2653,['grass' 'sheep' 'yard'],Sheep and chickens in a yard with green grass.
2654,['lamb' 'rest' 'sheep'],young lamb resting on the sheep
2655,['lamb' 'rest' 'sheep'],Sheep and their tagged lambs rest in hay
2656,['lamb' 'rest' 'sheep'],A sheep with two lambs resting on a green field.
2657,['campus' 'student' 'study'],a female college student studying on campus
2658,['campus' 'student' 'study'],students studying near an iconic statue on campus .
2659,['campus' 'student' 'study'],students studying at the pavilion restaurant in their campus getting ready for exams.
2660,['carrot' 'eat' 'look'],He looks to rather eat the cookie than the carrots.
2661,['carrot' 'eat' 'look'],She is looking at the camera while eating a carrot.
2662,['carrot' 'eat' 'look'],A very large white polar bear eating whats looks like a carrot.
2663,['bolt' 'hand' 'tighten'],hands of a workman tighten a bolt
2664,['bolt' 'hand' 'tighten'],large bolt and tighten the nut by hand
2665,['bolt' 'hand' 'tighten'],male hands tightening the bolts in the bumper
2666,['airplane' 'flight' 'passenger'],passengers during a flight in an airplane
2667,['airplane' 'flight' 'passenger'],interior of airplane with passengers on seats during flight .
2668,['airplane' 'flight' 'passenger'],The airplane is ready to board passengers for the next flight.
2669,['bank' 'boat' 'lake'],a small boat on the banks of a lake
2670,['bank' 'boat' 'lake'],lake and moorings with boats moored alongside the bank
2671,['building' 'cross' 'top'],a cross is on top of a tall building
2672,['building' 'cross' 'top'],A stone building with a large cross positioned at the top.
2673,['building' 'cross' 'top'],detail of an old church building with a cross on the top .
2674,['plate' 'strawberry' 'waffle'],a waffle on a black plate with strawberries
2675,['plate' 'strawberry' 'waffle'],viennese waffles with strawberries and chocolate on the plate
2676,['move' 'road' 'train'],A train moving along the tracks next to road.
2677,['move' 'road' 'train'],a train moving down the road with people in it
2678,['bedroom' 'come' 'window'],the single bedroom comes with a large window .
2679,['bedroom' 'come' 'window'],A small bedroom with sunlight coming in through the window.
2680,['bedroom' 'come' 'window'],all the bedrooms come with beautiful wooden floors and windows .
2681,['chicken' 'pizza' 'plate'],There is a white pizza with chicken on a plate.
2682,['chicken' 'pizza' 'plate'],A plate with pizza and lobster and chicken and melon
2683,['chicken' 'pizza' 'plate'],The plate is full of pizza with chicken and vegetables on it.
2684,['look' 'sky' 'tower'],Looking up at a tall clock tower in a blue sky
2685,['look' 'sky' 'tower'],A gothic looking clock tower is filling the clear sky.
2686,['look' 'sky' 'tower'],the tower looks like a giant lantern hanging in the sky
2687,['city' 'fill' 'sky'],a star filled sky over a city
2688,['city' 'fill' 'sky'],clouds fill the sky above a city .
2689,['city' 'fill' 'sky'],A city filled with tall buildings under a gray sky.
2690,['chicken' 'dish' 'serve'],fried chicken and other main dishes served
2691,['chicken' 'dish' 'serve'],whole chicken on a dish to be served at restaurant
2692,['chicken' 'dish' 'serve'],A dish is served with chicken and many vegetables. 
2693,['coffee' 'cup' 'spill'],coffee spilling out of a cup
2694,['coffee' 'cup' 'spill'],white coffee cup tipped over spilling some coffee
2695,['coffee' 'cup' 'spill'],He is jumping around and spilling the coffee in his cup.
2696,['bath' 'cat' 'take'],A cat taking a bath.
2697,['bath' 'cat' 'take'],the cat in a turban takes a bath .
2698,['cloud' 'plane' 'take'],a plane takes off into heavy clouds .
2699,['cloud' 'plane' 'take'],white clouds taken form above while flying in a plane .
2700,['airplane' 'gear' 'land'],landing gear of an airplane
2701,['airplane' 'gear' 'land'],an airplane with landing gear down ready to land
2702,['airplane' 'gear' 'land'],A large green airplane has it's landing gear down.
2703,['ascend' 'climber' 'mountain'],A climber ascending a mountain
2704,['ascend' 'climber' 'mountain'],Two mountain climbers are ascending the mountain.
2705,['ascend' 'climber' 'mountain'],climber ascending a cliff above distant mountains
2706,['letter' 'spell' 'word'],the word spelled out with wooden letters
2707,['letter' 'spell' 'word'],"People holding letters at an event spell the word ""krunch"""
2708,['letter' 'spell' 'word'],The girl is spelling out her favorite words with colored letters.
2709,['buy' 'market' 'thing'],Men buying things from the market.
2710,['buy' 'market' 'thing'],A group of people look for things to buy in a market
2711,['buy' 'market' 'thing'],the beautiful women buying their home need things on markets
2712,['fall' 'look' 'sky'],a man looking up as dollar bills fall from the sky
2713,['fall' 'look' 'sky'],looking up in the sky at snowflakes falling past you
2714,['fall' 'look' 'sky'],Two people are free falling high in the sky looking down on land.
2715,['airport' 'load' 'luggage'],workers loading luggage into a jet at the airport
2716,['airport' 'load' 'luggage'],A plane is being loading with luggage at an airport.
2717,['banana' 'carry' 'load'],a boy carries a load of fresh bananas
2718,['banana' 'carry' 'load'],The woman is carrying a huge load of bananas.
2719,['come' 'mountain' 'train'],the mountain and green train coming
2720,['come' 'mountain' 'train'],The two yellow trains are coming down from the mountain.
2721,['come' 'mountain' 'train'],A train coming out of an enclosure under a snowy mountain.
2722,['elephant' 'feed' 'time'],elephants getting ready for feeding time .
2723,['elephant' 'feed' 'time'],It is time for the elephant to feed her baby.
2724,['elephant' 'feed' 'time'],feeding time for the family of elephants at the zoo
2725,['gold' 'pot' 'rainbow'],rainbow and a pot of gold
2726,['gold' 'pot' 'rainbow'],the pot of gold under the rainbow
2727,['gold' 'pot' 'rainbow'],pot of gold with a rainbow shining in it
2728,['hiker' 'mountain' 'trek'],hikers trekking in the mountains
2729,['hiker' 'mountain' 'trek'],A hiker treks up the snowy mountain.
2730,['hiker' 'mountain' 'trek'],Seven hikers trekking across frozen tundra near some mountains.
2731,['bathroom' 'let' 'light'],let the light emerge in your bathroom .
2732,['bathroom' 'let' 'light'],a small bathroom with a window to let light in.
2733,['bathroom' 'let' 'light'],the bathroom even has a skylight to let in natural light
2734,['aircraft' 'hangar' 'park'],aircraft parked in the hangar
2735,['aircraft' 'hangar' 'park'],a stealth fighter aircraft is parked inside a hangar
2736,['aircraft' 'hangar' 'park'],Two propeller aircraft parked outside a rural hangar.
2737,['bed' 'couple' 'love'],couple in love on the bed
2738,['bed' 'couple' 'love'],A couple is in bed making love.
2739,['bed' 'couple' 'love'],modern times couple in bed not talking occupied with social network no love
2740,['bathroom' 'color' 'paint'],The small bathroom has been painted in bright colors.
2741,['bathroom' 'color' 'paint'],A toilet bowl in a bathroom painted two different colors
2742,['bathroom' 'color' 'paint'],This is a bathroom that is painted an ugly mustard color.
2743,['park' 'ride' 'train'],Children ride a train in the park.
2744,['park' 'ride' 'train'],A train with passengers riding through a park.
2745,['park' 'ride' 'train'],A family is riding the small train at an amusement park.
2746,['glass' 'light' 'reflect'],glass stems reflecting and shining in the light 
2747,['glass' 'light' 'reflect'],sparkles of light reflecting on a glass full of champagne
2748,['glass' 'light' 'reflect'],his glasses are reflecting the blinding light of his bright future .
2749,['side' 'trail' 'tree'],this downed tree was along side the trail .
2750,['side' 'trail' 'tree'],rocks and trees on the west side of the trail
2751,['side' 'trail' 'tree'],A skier coming down a trail with trees on either side. 
2752,['aircraft' 'airport' 'park'],aircraft parked at the airport
2753,['aircraft' 'airport' 'park'],A small aircraft is parked at an airport.
2754,['aircraft' 'airport' 'park'],A large aircraft parked on the runway in an airport
2755,['classroom' 'look' 'teacher'],boy and teacher looking at each other in classroom
2756,['classroom' 'look' 'teacher'],video of a teacher looking at the blackboard in a classroom
2757,['dish' 'include' 'ingredient'],The dish includes at least three different ingredients.
2758,['dish' 'include' 'ingredient'],when including raw potentially hazardous ingredients in the dish
2759,['day' 'rest' 'tree'],A few zebras resting underneath a tree during the day.
2760,['day' 'rest' 'tree'],crocodile rests under the shade of a tree on a hot summer day
2761,['day' 'rest' 'tree'],shotgun resting against a tree outside in a shady spot on a sunny day
2762,['chalkboard' 'student' 'teacher'],teacher and student doing mathematics on the chalkboard
2763,['chalkboard' 'student' 'teacher'],students learning while teacher demonstrates concepts on a chalkboard
2764,['chalkboard' 'student' 'teacher'],An Asian teacher is writing equations on the chalkboard for her students.
2765,['car' 'pull' 'trailer'],car pulling a covered trailer in winter
2766,['car' 'pull' 'trailer'],A white car being towed on a trailer pulled by a train. 
2767,['morning' 'walk' 'work'],A woman is walking to work in the morning.
2768,['morning' 'walk' 'work'],pedestrians and commuters walking to work on a sunny morning near station
2769,['frame' 'mirror' 'wall'],framed mirrors in a gallery wall
2770,['frame' 'mirror' 'wall'],black walls in the bathroom with gold framed mirror
2771,['frame' 'mirror' 'wall'],This bathroom is all white and has a framed mirror on the wall
2772,['image' 'station' 'train'],This is an image of a train at a station.
2773,['image' 'station' 'train'],Old black and white image of 2 trains pulling into a station
2774,['image' 'station' 'train'],the image of local train and commuters at station building or station
2775,['jet' 'park' 'terminal'],a jet parked at a terminal
2776,['jet' 'park' 'terminal'],Various jets parked in their terminals at the airport
2777,['jet' 'park' 'terminal'],Two Korean Air jets parked on a runway next to a terminal.
2778,['field' 'goat' 'herd'],herd of goats in a field
2779,['field' 'goat' 'herd'],herd of goats and sheep going to the fields in the morning
2780,['image' 'move' 'train'],an image of train moving down the tracks
2781,['image' 'move' 'train'],A blurred image of a train moving really fast.
2782,['image' 'move' 'train'],grainy image of two trains on tracks moving through a city
2783,['bear' 'ground' 'lie'],big brown bear lies on the ground
2784,['bear' 'ground' 'lie'],A worn teddy bear is lying on the ground.
2785,['bear' 'ground' 'lie'],Weathered stuffed toy bear lying on rocky ground. 
2786,['counter' 'restaurant' 'stand'],A man stands behind the counter of a restaurant.
2787,['counter' 'restaurant' 'stand'],A woman standing at a counter in an empty restaurant
2788,['boat' 'fill' 'tourist'],a boat filled with tourists .
2789,['boat' 'fill' 'tourist'],the boats filling up with tourists
2790,['move' 'train' 'tree'],tracking shot of trees outside a moving train .
2791,['move' 'train' 'tree'],A train moving along some train tracks next to a tree.
2792,['move' 'train' 'tree'],"A modern train is moving through a small town, trees and people."
2793,['letter' 'read' 'soldier'],a soldier reads a letter from home .
2794,['letter' 'read' 'soldier'],soldier smiling while reading a letter at sea
2795,['letter' 'read' 'soldier'],"Later, soldiers load cargo into vehicles as someone reads his letter."
2796,['clock' 'tower' 'town'],famous falling tower with a clock in old town
2797,['clock' 'tower' 'town'],A large clock  tower stands high above a town.
2798,['front' 'pray' 'statue'],A monk is praying in front of a statue.
2799,['front' 'pray' 'statue'],young buddhist woman praying in front of a buddha statue at the temple
2800,['bedroom' 'color' 'decorate'],decorating a bedroom with colors
2801,['bedroom' 'color' 'decorate'],A bedroom decorated in neutral colors and wood
2802,['bedroom' 'color' 'decorate'],colors of purple how to decorate a bedroom with purple walls
2803,['goat' 'graze' 'hillside'],goats grazing on the hillside
2804,['goat' 'graze' 'hillside'],Several goats that are grazing on a rocky hillside. 
2805,['goat' 'graze' 'hillside'],mountain goats graze on the steep vegetated hillside of fjord
2806,['bunch' 'rose' 'vase'],bunch of pink roses in the vase
2807,['bunch' 'rose' 'vase'],a vase of glass with a bunch of white roses
2808,['balloon' 'look' 'sky'],look closely in the sky for the white balloon .
2809,['balloon' 'look' 'sky'],A young girl looks up as her helium balloon drifts high into the sky.
2810,['city' 'clock' 'time'],Multiple clocks on a wall list times of various cities.
2811,['city' 'clock' 'time'],the 4 clocks show different time from different cities located in different time-zones
2812,['joy' 'jump' 'team'],the team were jumping for joy .
2813,['joy' 'jump' 'team'],A boy jumps for joy because he made the team.
2814,['joy' 'jump' 'team'],a young team of professionals jumping for joy .
2815,['bathroom' 'color' 'tile'],A toilet in a bathroom with two colors of tile.
2816,['bathroom' 'color' 'tile'],tile adds interest and color to a minimal bathroom
2817,['bathroom' 'color' 'tile'],A bathroom has different colors and shapes of tiles.
2818,['flock' 'lead' 'sheep'],A flock of sheep is led down a rural road
2819,['flock' 'lead' 'sheep'],profession leading a flock of sheep across snowy moorland .
2820,['flock' 'lead' 'sheep'],the shepherd leads a flock of sheep grazing just as in biblical times
2821,['elephant' 'trunk' 'use'],An elephant uses its trunk to browse foliage.
2822,['elephant' 'trunk' 'use'],elephants use their trunks to smell for possible danger .
2823,['elephant' 'trunk' 'use'],An elephant uses it's trunk to reach for a snack from someone's hand.
2824,['cat' 'lie' 'shelf'],cat lies on a wooden shelf
2825,['cat' 'lie' 'shelf'],The cat is lying on top of the books on the shelf.
2826,['cat' 'lie' 'shelf'],Large adult grey cat lying on shelf with computer mouse.
2827,['fly' 'plane' 'sea'],plane flying over a sea .
2828,['fly' 'plane' 'sea'],the plane flies over the sea .
2829,['fly' 'plane' 'sea'],plane taking off at airport flying over the sea and desert
2830,['chandelier' 'hang' 'table'],chandelier hanging over a pool table
2831,['chandelier' 'hang' 'table'],find the right chandelier to hang over the pool table
2832,['chandelier' 'hang' 'table'],large chandeliers hanging above a coastal dining table
2833,['base' 'sit' 'statue'],A man sits on the base of a statue.
2834,['base' 'sit' 'statue'],young people sit at base of statue in the city
2835,['graze' 'sheep' 'sky'],sheep grazing under a stormy grey sky .
2836,['graze' 'sheep' 'sky'],A fat sheep grazes beneath a bright blue sky.
2837,['graze' 'sheep' 'sky'],Sheep grazing on a brown grassland under an overcast sky.
2838,['bite' 'piece' 'pizza'],man biting into a piece of pizza
2839,['bite' 'piece' 'pizza'],He is about to bite into his first piece of pizza.
2840,['dough' 'pizza' 'sauce'],"The pizza has olives, cheese, sauce and dough."
2841,['dough' 'pizza' 'sauce'],An uncooked pizza with sauce on the raw dough.
2842,['dough' 'pizza' 'sauce'],Someone is making a pizza they are spreading the sauce on the dough and cheese.
2843,['desk' 'mount' 'wall'],wall mounted desks for the little ones
2844,['desk' 'mount' 'wall'],A flat screen TV mounted to a wall over a desk.
2845,['desk' 'mount' 'wall'],save space in the bedroom with wall mounted desk
2846,['corner' 'round' 'track'],A train rounding a corner on the tracks.
2847,['corner' 'round' 'track'],"Two motorcycle racers are rounding a corner on the track at a sharp angle, close to the ground."
2848,['airplane' 'airport' 'window'],airport seen from the window of the airplane
2849,['airplane' 'airport' 'window'],An airplane visible through the windows of an airport.
2850,['airplane' 'airport' 'window'],Scene of airplane through window at airport on overcast day.
2851,['bedroom' 'decorate' 'furniture'],A bedroom at a hotel decorated with furniture. 
2852,['bedroom' 'decorate' 'furniture'],idea for decorating a bedroom with this furniture
2853,['bedroom' 'decorate' 'furniture'],all white furniture how to decorate a bedroom with white furniture
2854,['bathroom' 'interior' 'toilet'],bathroom and toilet in the interior
2855,['bathroom' 'interior' 'toilet'],The interior of a small bathroom with toilet
2856,['bathroom' 'interior' 'toilet'],interior of the toilet and bathroom in a modern hotel without people
2857,['package' 'ribbon' 'tie'],They tie the ribbon onto a wrapped package.
2858,['package' 'ribbon' 'tie'],A ribbon is slid under the package and tied in a bow.
2859,['package' 'ribbon' 'tie'],A woman describes wire ribbon while tying a bow on a package using gold ribbon.
2860,['keep' 'soldier' 'watch'],A soldier is outside keeping watch.
2861,['keep' 'soldier' 'watch'],a soldier keeps watch on the south coast
2862,['keep' 'soldier' 'watch'],a soldier keeping watch for more asylum seeking ethnicity .
2863,['daughter' 'mother' 'playground'],mother and daughter having fun on the playground
2864,['daughter' 'mother' 'playground'],mother and daughter going to the playground in winter
2865,['chairlift' 'mountain' 'skier'],chairlift with skiers and the mountains behind
2866,['chairlift' 'mountain' 'skier'],chairlift with skiers over a snowy alpine mountain
2867,['chairlift' 'mountain' 'skier'],skiers make their way up the mountain in a chairlift
2868,['savanna' 'stand' 'zebra'],zebra standing in profile on the savanna
2869,['savanna' 'stand' 'zebra'],A zebra stands alone in a grassy savanna.
2870,['savanna' 'stand' 'zebra'],A trio of zebras stand in the lush savanna.
2871,['climb' 'hiker' 'hill'],a hiker is climbing a hill
2872,['climb' 'hiker' 'hill'],hikers climb up a hill on their way to the summit
2873,['climb' 'hiker' 'hill'],A hiker climbing a rocky hill with fog surrounding him.
2874,['goat' 'pasture' 'sheep'],goats and sheep in the pasture
2875,['goat' 'pasture' 'sheep'],Goats and a sheep sharing a green pasture.
2876,['goat' 'pasture' 'sheep'],a bunch of sheep or goats in a pasture together
2877,['golfer' 'green' 'shot'],golfer study the green before putting shot
2878,['golfer' 'green' 'shot'],golfer making his second shot to the third green .
2879,['golfer' 'green' 'shot'],golfer plays his second shot into the fourth green during day
2880,['crust' 'sauce' 'spread'],A man is spreading marinara sauce on a pizza crust.
2881,['crust' 'sauce' 'spread'],A girl uses a spoon to spread sauce onto two small pizza crusts.
2882,['appear' 'cloud' 'moon'],an orange moon appears between the clouds
2883,['appear' 'cloud' 'moon'],"A full moon appears, half hidden by clouds."
2884,['appear' 'cloud' 'moon'],The moon appears from behind a bank of cloud.
2885,['come' 'corner' 'train'],a freight train comes around the corner .
2886,['come' 'corner' 'train'],A train coming out of a tunnel and rounding a corner.
2887,['come' 'corner' 'train'],A long red and blue train coming around a corner on the tracks.
2888,['approach' 'stop' 'train'],the train approaches a stop
2889,['approach' 'stop' 'train'],there is a train that is approaching the train stop
2890,['approach' 'stop' 'train'],The cargo train is slowing down as it approaches the next stop
2891,['bacon' 'fill' 'plate'],a plate filled with green veggies and bacon
2892,['bacon' 'fill' 'plate'],bacon wrapped cheddar filled meatballs and broccoli on a plate
2893,['arrangement' 'cut' 'flower'],A woman cutting flowers a wire to create floral arrangements.
2894,['arrangement' 'cut' 'flower'],a beautiful arrangement of flowers from the cutting garden at reception
2895,['arrangement' 'cut' 'flower'],"A florist demonstrates how to staple leaves together, and cuts flowers for an arrangement."
2896,['punch' 'ring' 'throw'],boxer throws punches at opponent against the rings
2897,['punch' 'ring' 'throw'],A couple of men are throwing punches inside a boxing ring.
2898,['punch' 'ring' 'throw'],The two boxers move around the ring throwing punches at each other.
2899,['student' 'study' 'test'],A student studying for a test.
2900,['student' 'study' 'test'],The student is studying for her test tomorrow.
2901,['park' 'rail' 'ride'],Skateboarder riding a rail at the park
2902,['park' 'rail' 'ride'],a train in a park rides the rails fastly
2903,['add' 'bathroom' 'color'],tile adds interest and color to a minimal bathroom
2904,['add' 'bathroom' 'color'],lush green canopy outside adds color to the minimal bathroom
2905,['add' 'bathroom' 'color'],painted crown molding adds a great punch of color to this bathroom
2906,['light' 'travel' 'tunnel'],car travels into light in a tunnel
2907,['light' 'travel' 'tunnel'],traveling in speed through a tunnel of lights
2908,['lay' 'skier' 'snow'],happy skier laying as a star on the snow
2909,['lay' 'skier' 'snow'],couple of skiers laying down in the snow
2910,['bear' 'cub' 'look'],The mama bear looks over as she feeds her two cubs.  
2911,['bear' 'cub' 'look'],A defensive looking bear hovering over its baby cubs.
2912,['bear' 'cub' 'look'],a grizzly bear cub looks out for other bears before nursing .
2913,['boat' 'city' 'fill'],A canal going through a city filled with boats.
2914,['boat' 'city' 'fill'],a city showing the calm harbor filled with commercial fishing boats at sunrise
2915,['noodle' 'plate' 'serve'],Beef a vegetables are served on a plate with noodles. 
2916,['noodle' 'plate' 'serve'],A delicious plate of noodles being served to someone who ordered it. 
2917,['bridge' 'park' 'pond'],the bridge and pond in the park
2918,['bridge' 'park' 'pond'],the small shabby bridge in park over a pond
2919,['bridge' 'park' 'pond'],old arch bridge is crossing the small pond of city park
2920,['mount' 'shelf' 'wall'],a wall mounted book shelf made from a pallet
2921,['mount' 'shelf' 'wall'],A TV mounted inside of a wall between two shelfs.
2922,['mount' 'shelf' 'wall'],A wall mounted with white shelves filled with clocks.
2923,['frame' 'mount' 'wall'],frame for a wall mounted tv
2924,['frame' 'mount' 'wall'],A stuffed teddy bear mounted on the wall in a frame.
2925,['frame' 'mount' 'wall'],love this concept of a flat screen tv in an antique frame mounted on the wall .
2926,['fruit' 'plate' 'variety'],varieties of passion fruit on a plate
2927,['fruit' 'plate' 'variety'],This plate has three varieties of fruit o it.
2928,['cloud' 'smoke' 'train'],train behind a cloud of smoke
2929,['cloud' 'smoke' 'train'],Some big clouds of smoke coming out of a big train.
2930,['cloud' 'smoke' 'train'],steam train emerging from a tunnel in a cloud of smoke
2931,['ascend' 'cliff' 'climber'],a rock climber ascends a cliff
2932,['ascend' 'cliff' 'climber'],climbers ascend a steep cliff over waterfall
2933,['ascend' 'cliff' 'climber'],climber ascending a cliff above distant mountains
2934,['cloud' 'fly' 'layer'],the plane flies between layers of clouds
2935,['cloud' 'fly' 'layer'],An airplane wing flying over layer of white clouds. 
2936,['cushion' 'room' 'sofa'],the room has a brown sofa with red cushions 
2937,['cushion' 'room' 'sofa'],large painting on wall above blue sofa with contrasting cushions in a nineties living room
2938,['mountain' 'skier' 'travel'],The skiers travel towards the mountains.
2939,['mountain' 'skier' 'travel'],Two skiers are traveling down a snowy mountain.
2940,['airport' 'land' 'take'],at the airport and planes are landing and taking off
2941,['airport' 'land' 'take'],an airplane lands as another jet takes off at an airport
2942,['monk' 'sit' 'temple'],a monk sits outside a temple .
2943,['monk' 'sit' 'temple'],buddhist monk sitting in the temple
2944,['monk' 'sit' 'temple'],young monk sitting on the roof of temple .
2945,['sheep' 'shepherd' 'tend'],a young shepherd tends to sheep
2946,['sheep' 'shepherd' 'tend'],a shepherd tending to his flock of sheep 
2947,['fill' 'flower' 'tree'],panning shot of a tree filled with pink flowers
2948,['fill' 'flower' 'tree'],an olive tree filled with emerging flowers and buds
2949,['airport' 'land' 'plane'],plane coming into land in airport .
2950,['airport' 'land' 'plane'],the plane comes to land at the airport
2951,['airport' 'land' 'plane'],A plane descending to land in a airport
2952,['cat' 'rug' 'sleep'],cat sleeping on a rug
2953,['cat' 'rug' 'sleep'],The orange cat is sleeping on the bathroom rug.
2954,['fill' 'room' 'smoke'],Smoke fills an empty dark room.
2955,['fill' 'room' 'smoke'],smoke filled room in a building
2956,['fill' 'room' 'smoke'],The woman shakes her body while smoke fills the room around her.
2957,['fly' 'range' 'wing'],A wing flying over a large mountain range.
2958,['fly' 'range' 'wing'],The right wing of an airplane as it flies over a mountain range.
2959,['cloud' 'fly' 'formation'],formation flying in the clouds
2960,['cloud' 'fly' 'formation'],Seven airplanes are flying in a formation under clouds.
2961,['cloud' 'fly' 'formation'],Jets fly in formation with long cloud of smoke behind them
2962,['boat' 'ground' 'tide'],Four boats grounded because of low tide. 
2963,['boat' 'ground' 'tide'],old boats grounded at low tide in the harbour .
2964,['hold' 'infant' 'wrap'],An infant wrapped in a blanket yawns while being held.
2965,['hold' 'infant' 'wrap'],A woman begins to wrap a baby carrier around herself while holding an infant.
2966,['classroom' 'exam' 'take'],donkey taking an exam in classroom
2967,['classroom' 'exam' 'take'],a classroom of teenage girls taking an exam
2968,['classroom' 'exam' 'take'],The people are taking their exams in the classroom.
2969,['concert' 'instrument' 'musician'],A musician plays his instrument at a concert.
2970,['concert' 'instrument' 'musician'],Some musicians are preparing their instruments for the concert.
2971,['concert' 'instrument' 'musician'],a cello musician is enthusiastically performing with his instrument during a concert
2972,['bench' 'day' 'rest'],A woman rests on a bench in the day
2973,['bench' 'day' 'rest'],A man is resting on a bench after a long day at work.
2974,['bench' 'day' 'rest'],shoppers resting on public benches in the shade of tree on a hot summers day
2975,['fisherman' 'fix' 'net'],fishermen fixing nets on the beach .
2976,['fisherman' 'fix' 'net'],A fisherman is working to fix his net.
2977,['fisherman' 'fix' 'net'],fishermen fixing their nets to get ready to go out
2978,['pillow' 'room' 'throw'],throw pillows and colorful decor in the living room
2979,['pillow' 'room' 'throw'],A group of boys are in a room throwing pillows at each other.
2980,['pillow' 'room' 'throw'],throw this decorative pillow in any room to add a little bit to your living space .
2981,['corner' 'motorcycle' 'round'],A man rounds a corner on a motorcycle.
2982,['corner' 'motorcycle' 'round'],Several people on motorcycles are seen rounding a corner.
2983,['pass' 'statue' 'walk'],walk pass these statues on your itinerary
2984,['pass' 'statue' 'walk'],A woman stares at a gray statue she passes while walking.
2985,['pass' 'statue' 'walk'],a woman walks passed statues of the kings of knowledge at the exhibition
2986,['country' 'ski' 'wood'],A man cross country skiing through the woods.
2987,['country' 'ski' 'wood'],Someone is doing some cross-country skiing out in the woods.
2988,['dog' 'lean' 'wall'],Two homeless men lean against a wall with a dog.
2989,['dog' 'lean' 'wall'],A dog leaning across a concrete wall near a chair.
2990,['dog' 'lean' 'wall'],Two dogs in a bike carrier and the bike leaning against a wall
2991,['blackboard' 'equation' 'write'],equation written on a blackboard
2992,['blackboard' 'equation' 'write'],student writing an equation on blackboard
2993,['blackboard' 'equation' 'write'],The man writing math equations on the blackboard.
2994,['car' 'firefighter' 'rescue'],Firefighters rescue a man from a car.
2995,['car' 'firefighter' 'rescue'],Firefighters are trying to rescue people from a red car.
2996,['car' 'firefighter' 'rescue'],subtle firefighters rescued a baby from a car without even waking him up
2997,['help' 'student' 'tutor'],A tutor helps a student.
2998,['help' 'student' 'tutor'],student being helped by a tutor .
2999,['help' 'student' 'tutor'],A tutor is helping a student at home.
3000,['fruit' 'place' 'plate'],the woman places the fruit on a plate.
3001,['fruit' 'place' 'plate'],Various healthy fruits are placed on a plate.
3002,['fruit' 'place' 'plate'],Different types of fruit on a plate placed next to each other.
3003,['daughter' 'leave' 'mother'],A mother gets ready to leave her daughter at college.
3004,['daughter' 'leave' 'mother'],mother and daughter throwing autumn leaves in the park at camera
3005,['daughter' 'leave' 'mother'],community members left balloons notes as a memorial to the mother and daughter .
3006,['flame' 'light' 'match'],flame from a lit match
